# DATA-vs-ACT classification of every GSP_RM_CONTROL demanded in cap1_coldboot_hermetic.
# Task #179 (replay-conformance). Source of truth: ogkm-580.159.04 (NVIDIA open kernel
# modules 580.159.04) — the driver the bench guest runs. ⚠ Every citation is against that
# tag; research_clones/ogkm is 610.43.02 and disagrees.
#
# bucket   DATA    the reply is the whole answer; params carry [out]; servable from a table
#          ACT     params are all [in]; the reply only acknowledges something that HAPPENED
#          MIXED   params carry both directions AND the call causes a device-side effect
#          UNKNOWN not decidable from this tree — the reason is in `note`
#
# ⊘ A control's NAME does not decide this. Each row was decided from the params struct and
#   from what the CPU-side caller does with the params AFTER the RPC returns.
# ⊘ `RMCTRL_FLAGS_CACHEABLE` (0x400, ogkm-580: src/nvidia/inc/kernel/rmapi/control.h:255-260)
#   is a ONE-WAY witness: present ⇒ DATA. Absent ⇒ nothing; most of RM predates the flag.
#   `CACHEABLE_BY_INPUT` (0x20000) ⇒ DATA but the table must be keyed on the request params.
#
# totals: 53 controls — DATA 38, ACT 11, MIXED 1, UNKNOWN 3. Cited: 50/53 (94.3%).
#
id	bucket	conf	macro	params_struct	params_at	flags	cacheable	handler_or_caller	caller_at	note
0x20800a59	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GMMU_GET_STATIC_INFO	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS	ctrl2080internal.h:1418	0x400c0	-	_kgmmuInitStaticInfo	src/nvidia/src/kernel/gpu/mmu/kern_gmmu.c:140	pKernelGmmu->pStaticInfo is itself the params buffer (:149-157); reply IS the cached static info
0x20800a70	ACT	HIGH	NV2080_CTRL_CMD_INTERNAL_BUS_FLUSH_WITH_SYSMEMBAR	(none)	ctrl2080internal.h:1159	0xc0	-	kbusSendSysmembarSingle_KERNEL	src/nvidia/src/kernel/gpu/bus/kern_bus.c:420	NVOC paramSize is `0 /* Singleton parameter list */` (g_subdevice_nvoc.c:2986); header: "accepts no parameters". Whole semantic is the device-side sysmembar
0x20800a6c	ACT	HIGH	NV2080_CTRL_CMD_INTERNAL_MEMSYS_L2_INVALIDATE_EVICT	NV2080_CTRL_INTERNAL_MEMSYS_L2_INVALIDATE_EVICT_PARAMS	ctrl2080internal.h:2149	0xc0	-	kmemsysSendL2InvalidateEvict_IMPL	src/nvidia/src/kernel/gpu/mem_sys/kern_mem_sys.c:1080	single `flags [IN]` (:2141-2142); caller returns the Control result directly (:1089-1094), stack params die at return. Known reference point (task #148)
0x20800a80	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_PERF_GPU_BOOST_SYNC_GET_INFO	NV2080_CTRL_INTERNAL_PERF_GPU_BOOST_SYNC_GET_INFO_PARAMS	ctrl2080internal.h:1783	0xc0	-	kperfGpuBoostSyncStateInit_IMPL	src/nvidia/src/kernel/gpu/perf/kern_perf_gpuboostsync.c:42	all three fields tagged [OUT] at :1765-1775; copied into kernel state at :68-70
0x20802a0f	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_CE_GET_PCE_CONFIG_FOR_LCE_TYPE	NV2080_CTRL_INTERNAL_CE_GET_PCE_CONFIG_FOR_LCE_TYPE_PARAMS	ctrl2080ce.h:453	0x100c0	-	kceGetPceConfigForLceType_IMPL	src/nvidia/src/kernel/gpu/ce/kernel_ce.c:977	[in] lceType/metadataForLceType, [out] 5 fields (ctrl2080ce.h:430-443); copied out at :1027-1031 — INPUT-KEYED
0x20802a06	MIXED	MEDIUM	NV2080_CTRL_CMD_CE_UPDATE_CLASS_DB	NV2080_CTRL_CE_UPDATE_CLASS_DB_PARAMS	ctrl2080ce.h:263	0xc0	-	kceUpdateClassDB_KERNEL	src/nvidia/src/kernel/gpu/ce/kernel_ce.c:618	stubbedCeMask IS consumed (:634) and drives class-DB edits (:642,:650,:654); but the header says the call "triggers an update" server-side and its value depends on the preceding 0x20802a0d. ⚠ the GSP-side body is not in this tree — if it is an idempotent recompute this collapses to DATA
0x20802a0d	ACT	HIGH	NV2080_CTRL_CMD_CE_UPDATE_PCE_LCE_MAPPINGS_V2	NV2080_CTRL_CE_UPDATE_PCE_LCE_MAPPINGS_V2_PARAMS	ctrl2080ce.h:384	0x4	-	kceTopLevelPceLceMappingsUpdate_IMPL	src/nvidia/src/kernel/gpu/ce/kernel_ce.c:708	caller copies the computed maps IN (:780-789) and only tests status (:807-812); it invalidates the CE_GET_CE_PCE_MASK control cache first (:797-799) and learns the result via a separate control (:822)
0x2080017e	DATA	HIGH	NV2080_CTRL_CMD_GPU_GET_VMMU_SEGMENT_SIZE	NV2080_CTRL_GPU_GET_VMMU_SEGMENT_SIZE_PARAMS	ctrl2080gpu.h:3159	0x10448	CACHEABLE	gpuInitVmmuInfo	src/nvidia/src/kernel/gpu/gpu.c:906	header: "Output parameter. Returns the VMMU segment size" (:3148-3150); stored at gpu.c:933
0x20800a9f	ACT	HIGH	NV2080_CTRL_CMD_INTERNAL_GMMU_COPY_RESERVED_SPLIT_GVASPACE_PDES_TO_SERVER	NV2080_CTRL_INTERNAL_GMMU_COPY_RESERVED_SPLIT_GVASPACE_PDES_TO_SERVER_PARAMS	ctrl2080internal.h:1906	0xc0	-	gvaspaceCopyServerRmReservedPdesToServerRm_IMPL	src/nvidia/src/kernel/mem_mgr/gpu_vaspace.c:4039	embeds the all-[in] NV90F1 struct (ctrl90f1.h:272-332); filled from the CPU walker (:4144), no read-back (:4154). Header: "Pin PDEs ... and then mirror the client's page directory/tables in the server"
0x20800a1f	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_CAPS	NV2080_CTRL_INTERNAL_STATIC_GR_GET_CAPS_PARAMS	ctrl2080internal.h:207	0x100c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1218	buffer zeroed at :1211, reply copied into staticInfo.grCaps at :1223-1224
0x20800a2a	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_INFO	NV2080_CTRL_INTERNAL_STATIC_GR_GET_INFO_PARAMS	ctrl2080internal.h:418	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1231	zeroed :1228, copied to staticInfo.pGrInfo :1244-1247
0x20800a26	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS	NV2080_CTRL_INTERNAL_STATIC_GR_GET_FLOORSWEEPING_MASKS_PARAMS	ctrl2080internal.h:326	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1259	zeroed :1253, copied :1264-1265; the grIdx localisation is CPU-side only (:1206)
0x20800a22	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_GLOBAL_SM_ORDER	NV2080_CTRL_INTERNAL_STATIC_GR_GET_GLOBAL_SM_ORDER_PARAMS	ctrl2080internal.h:245	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1291	zeroed :1285, copied :1296-1297
0x20800a30	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_PPC_MASKS	NV2080_CTRL_INTERNAL_STATIC_GR_GET_PPC_MASKS_PARAMS	ctrl2080internal.h:495	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1304	zeroed :1298, copied :1317-1318; NV_ERR_NOT_SUPPORTED is tolerated (:1321-1327)
0x20800a2c	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_ZCULL_INFO	NV2080_CTRL_INTERNAL_STATIC_GR_GET_ZCULL_INFO_PARAMS	ctrl2080internal.h:449	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1333	zeroed :1327, copied :1346-1347
0x20800a2e	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_ROP_INFO	NV2080_CTRL_INTERNAL_STATIC_GR_GET_ROP_INFO_PARAMS	ctrl2080internal.h:473	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1363	zeroed :1357, copied :1376-1377
0x20800a34	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_SM_ISSUE_RATE_MODIFIER	NV2080_CTRL_INTERNAL_STATIC_GR_GET_SM_ISSUE_RATE_MODIFIER_PARAMS	ctrl2080internal.h:555	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1393	despite "MODIFIER" in the name this READS the fused issue-rate values; zeroed :1387, copied :1406-1407
0x20800b03	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_SM_ISSUE_RATE_MODIFIER_V2	NV2080_CTRL_INTERNAL_STATIC_GR_GET_SM_ISSUE_RATE_MODIFIER_V2_PARAMS	ctrl2080internal.h:5374	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1419	zeroed :1413, copied :1432-1433; the ListSize fields are per-engine OUTPUTS, not inputs
0x20800b05	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_SM_ISSUE_THROTTLE_CTRL	NV2080_CTRL_INTERNAL_STATIC_GR_GET_SM_ISSUE_THROTTLE_CTRL_PARAMS	ctrl2080internal.h:5402	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1445	"returns the throttle controls for all the GR engines" (:5390-5393); copied :1458-1459 — a descriptor, not an applied throttle
0x20800a3d	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_FECS_RECORD_SIZE	NV2080_CTRL_INTERNAL_STATIC_GR_GET_FECS_RECORD_SIZE_PARAMS	ctrl2080internal.h:691	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1472	zeroed :1466, scalar read at :1477; mandatory (NV_CHECK_OK_OR_GOTO) so a wrong value corrupts FECS buffer sizing later
0x20800a3f	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES	NV2080_CTRL_INTERNAL_STATIC_GR_GET_FECS_TRACE_DEFINES_PARAMS	ctrl2080internal.h:732	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1484	chip constants (masks/shifts) documented at :700-718; copied :1495-1496
0x20800a48	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_PDB_PROPERTIES	NV2080_CTRL_INTERNAL_STATIC_GR_GET_PDB_PROPERTIES_PARAMS	ctrl2080internal.h:862	0x1c0c0	-	kgraphicsLoadStaticInfo_KERNEL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:1511	copied :1516-1517; the bool then drives a HOST-side setter (:1518) that mutates only the KernelGraphics object
0x20800a32	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO	NV2080_CTRL_INTERNAL_STATIC_GR_GET_CONTEXT_BUFFERS_INFO_PARAMS	ctrl2080internal.h:525	0x1c1c0	-	kgraphicsInitializeDeferredStaticData_IMPL	src/nvidia/src/kernel/gpu/gr/kernel_graphics.c:749	on the DEFERRED path, not the main load; zeroed :741, copied :763-766; the only one of the KGR family carrying API_LOCK_READONLY
0x90f10106	ACT	HIGH	NV90F1_CTRL_CMD_VASPACE_COPY_SERVER_RESERVED_PDES	NV90F1_CTRL_VASPACE_COPY_SERVER_RESERVED_PDES_PARAMS	ctrl90f1.h:272	0x14004	-	gvaspaceCopyServerReservedPdes_IMPL	src/nvidia/src/kernel/mem_mgr/gpu_vaspace.c:4429	every field carries an explicit [in] tag; body mutates page-table state — gvaspaceReservePageTableEntries :4480, gvaspaceInvalidateTlb :4486, mmuWalkModifyLevelInstance :4534
0xa06f0103	ACT	HIGH	NVA06F_CTRL_CMD_GPFIFO_SCHEDULE	NVA06F_CTRL_GPFIFO_SCHEDULE_PARAMS	ctrla06fgpfifo.h:69	0x10008	-	kchannelCtrlCmdGpFifoSchedule_IMPL	src/nvidia/src/kernel/gpu/fifo/kernel_channel.c:3086	own comment: "All real hardware management is done in the host. Do an RPC to the host to do the hardware update and return." (:3116-3118); params read-only throughout. Known reference point (task #177)
0xa06f0104	ACT	HIGH	NVA06F_CTRL_CMD_BIND	NVA06F_CTRL_BIND_PARAMS	ctrla06fgpfifo.h:100	0x10008	-	kchannelCtrlCmdBind_IMPL	src/nvidia/src/kernel/gpu/fifo/kernel_channel.c:3172	single engineType, "specifies the engine to which this channel should be bound" (:88-90); calls kchannelBindToRunlist at :3231 and returns status
0x2080012b	ACT	HIGH	NV2080_CTRL_CMD_GPU_PROMOTE_CTX	NV2080_CTRL_GPU_PROMOTE_CTX_PARAMS	ctrl2080gpu.h:988	0x10244	-	(no CPU-RM body — physical/GSP only)	src/nvidia/generated/g_subdevice_nvoc.c:314	every NV2080_CTRL_GPU_PROMOTE_CTX_BUFFER_ENTRY field tagged [IN] at ctrl2080gpu.h:900-920; "used to promote a Virtual Context" (:949-951). GSP writes the client's context buffers
0x2080013f	DATA	HIGH	NV2080_CTRL_CMD_GPU_GET_OEM_BOARD_INFO	NV2080_CTRL_GPU_GET_OEM_BOARD_INFO_PARAMS	ctrl2080gpu.h:1585	0x448	CACHEABLE	(no CPU-RM body — physical/GSP fills it)	src/nvidia/generated/g_subdevice_nvoc.c:496	CACHEABLE is set ⇒ NVIDIA declares it replayable; the struct is entirely static InfoROM/board description (:1540-1570)
0x402c0101	DATA	HIGH	NV402C_CTRL_CMD_I2C_GET_PORT_INFO	NV402C_CTRL_I2C_GET_PORT_INFO_PARAMS	ctrl402c.h:116	0x48	-	(no CPU-RM body — physical/GSP reads the DCB)	src/nvidia/generated/g_i2c_api_nvoc.c:138	header is explicit: "info — This parameter is an output from the command and is ignored as an input" (:95-97)
0x20800102	DATA	HIGH	NV2080_CTRL_CMD_GPU_GET_INFO_V2	NV2080_CTRL_GPU_GET_INFO_V2_PARAMS	ctrl2080gpu.h:289	0x30118	CACHEABLE_BY_INPUT	subdeviceCtrlCmdGpuGetInfoV2_IMPL	src/nvidia/src/kernel/gpu/subdevice/subdevice_ctrl_gpu_kernel.c:584	{index [in], data [out]} pairs (ctrlxxxx.h:71-74); handler writes data at :566 and touches no hardware — INPUT-KEYED
0x00800294	DATA	HIGH	NV0080_CTRL_CMD_GPU_GET_BRAND_CAPS	NV0080_CTRL_GPU_GET_BRAND_CAPS_PARAMS	ctrl0080gpu.h:550	0x40049	-	deviceCtrlCmdGpuGetBrandCaps_VF	src/nvidia/src/kernel/gpu/device_ctrl.c:658	one output bitmask, no input field (:530-536); the only in-tree body RPCs it through and returns status (:679-685)
0x20810108	UNKNOWN	n/a	(no SDK #define — NV2081_BINAPI)	(none known)	-	(none)	-	binapiControl_IMPL	src/nvidia/src/kernel/rmapi/binary_api.c:62	★ __nvoc_export_info__BinaryApi has numEntries = 0 (g_binary_api_nvoc.c:384) ⇒ no export, no flags, no paramsSize, no struct. binapiControl_IMPL forwards pParams verbatim (:88-95, :106-115). CPU-RM models NOTHING of the payload — direction is undecidable from this tree
0x20810111	UNKNOWN	n/a	(no SDK #define — NV2081_BINAPI)	(none known)	-	(none)	-	binapiControl_IMPL	src/nvidia/src/kernel/rmapi/binary_api.c:62	same mechanism as 0x20810108; the size check at rmapi/control.c:452-455 is SKIPPED when getCtrlInfoStatus != NV_OK, confirming CPU-RM does not model the payload
0x20810110	UNKNOWN	n/a	(no SDK #define — NV2081_BINAPI)	(none known)	-	(none)	-	binapiControl_IMPL	src/nvidia/src/kernel/rmapi/binary_api.c:62	same; the privileged sibling NV2082_BINAPI_PRIVILEGED gates on privilege and calls the same body (:130-158), so no 0x2081/0x2082 control is interpreted by the kernel
0x20800a4c	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GPU_GET_SMC_MODE	NV2080_CTRL_INTERNAL_GPU_GET_SMC_MODE_PARAMS	ctrl2080internal.h:939	0xc0	-	kmigmgrSetPartitioningMode_IMPL	src/nvidia/src/kernel/gpu/mig_mgr/kernel_mig_manager.c:3904	smcMode tagged [OUT] (:927-933); three callers all branch on the returned field (:3937, :997, subdevice_ctrl_gpu_kernel.c:265). ⚠ NOT static across a MIG mode change (PENDING states :3931-3932)
0x20800810	DATA	HIGH	NV2080_CTRL_CMD_BIOS_GET_INFO_V2	NV2080_CTRL_BIOS_GET_INFO_V2_PARAMS	ctrl2080bios.h:101	0x60048	CACHEABLE_BY_INPUT	subdeviceCtrlCmdBiosGetInfoV2_VF	src/nvidia/src/kernel/gpu/subdevice/subdevice_ctrl_vgpu.c:220	{index [in], data [out]} pairs; indices are REVISION / OEM_REVISION (:44-45); the in-tree body is a pure param-filler (:237) — INPUT-KEYED
0x20800a38	DATA	HIGH	NV2080_CTRL_CMD_INTERNAL_GR_GET_FECS_TRACE_HW_ENABLE	NV2080_CTRL_INTERNAL_GR_FECS_TRACE_HW_ENABLE_PARAMS	ctrl2080internal.h:611	0x400c0	-	fecsBufferReset	src/nvidia/src/kernel/gpu/gr/fecs_event_list.c:1529	pure getter — the guest impl does `pParams->bEnable = kgraphicsIsCtxswLoggingEnabled(...)` (kernel_graphics.c:4448); the SETTER is a different id, 0x20800a37. ⚠ grRouteInfo is an [in] the caller fills and REUSES from the reply (:1552-1554), and bEnable gates real device writes (:1538, :1628)
